rad;T;elevaz;;media;dev std
2923;40.32;45;;2914,027586;45,83908219
2934;40.32;45;;;
2919;40.32;45;;;
2905;40.32;45;;;
2928;40.32;45;;;
2916;40.32;45;;;
2930;40.32;45;;;
2958;40.32;45;;;
2958;40.32;45;;;
2962;40.32;45;;;
2937;40.32;45;;;
2938;40.32;45;;;
2933;40.32;45;;;
2915;40.32;45;;;
2941;40.32;45;;;
2939;40.32;45;;;
2922;40.32;45;;;
2949;40.32;45;;;
2934;40.32;45;;;
2930;40.32;45;;;
2944;40.32;45;;;
2932;40.32;45;;;
2907;40.32;45;;;
2942;40.32;45;;;
2950;40.32;45;;;
2950;40.32;45;;;
2975;40.32;45;;;
2985;40.32;45;;;
2996;40.29;45;;;
3007;40.29;45;;;
3038;40.32;45;;;
3046;40.32;45;;;
3032;40.32;45;;;
3006;40.32;45;;;
2980;40.32;45;;;
2941;40.32;45;;;
2943;40.32;45;;;
2935;40.32;45;;;
2932;40.32;45;;;
2960;40.32;45;;;
2942;40.29;45;;;
2952;40.29;45;;;
2930;40.29;45;;;
2966;40.29;45;;;
2987;40.29;45;;;
2964;40.29;45;;;
2969;40.29;45;;;
2963;40.29;45;;;
2958;40.29;45;;;
2955;40.29;45;;;
2943;40.29;45;;;
2954;40.29;45;;;
2931;40.29;45;;;
2914;40.29;45;;;
2894;40.29;45;;;
2887;40.29;45;;;
2874;40.29;45;;;
2893;40.29;45;;;
2902;40.29;45;;;
2909;40.29;45;;;
2890;40.29;45;;;
2883;40.29;45;;;
2895;40.29;45;;;
2866;40.29;45;;;
2856;40.29;45;;;
2851;40.29;45;;;
2851;40.29;45;;;
2830;40.29;45;;;
2831;40.29;45;;;
2822;40.29;45;;;
2830;40.29;45;;;
2828;40.29;45;;;
2851;40.29;45;;;
2858;40.29;45;;;
2855;40.29;45;;;
2840;40.29;45;;;
2855;40.29;45;;;
2872;40.26;45;;;
2882;40.26;45;;;
2895;40.26;45;;;
2895;40.26;45;;;
2870;40.26;45;;;
2865;40.26;45;;;
2851;40.29;45;;;
2870;40.26;45;;;
2880;40.26;45;;;
2873;40.26;45;;;
2847;40.26;45;;;
2853;40.26;45;;;
2849;40.26;45;;;
2853;40.26;45;;;
2844;40.26;45;;;
2874;40.26;45;;;
2853;40.26;45;;;
2855;40.26;45;;;
2839;40.26;45;;;
2855;40.26;45;;;
2866;40.26;45;;;
2865;40.26;45;;;
2867;40.26;45;;;
2887;40.26;45;;;
2874;40.26;45;;;
2891;40.26;45;;;
2878;40.26;45;;;
2888;40.26;45;;;
2885;40.26;45;;;
2907;40.26;45;;;
2939;40.26;45;;;
2928;40.26;45;;;
2937;40.26;45;;;
2945;40.26;45;;;
2944;40.26;45;;;
2952;40.26;45;;;
2928;40.26;45;;;
2933;40.26;45;;;
2910;40.26;45;;;
2899;40.26;45;;;
2891;40.26;45;;;
2885;40.26;45;;;
2902;40.26;45;;;
2875;40.26;45;;;
2885;40.26;45;;;
2888;40.26;45;;;
2886;40.26;45;;;
2886;40.26;45;;;
2910;40.26;45;;;
2916;40.26;45;;;
2916;40.26;45;;;
2941;40.26;45;;;
2946;40.26;45;;;
2948;40.26;45;;;
2957;40.26;45;;;
2955;40.26;45;;;
2954;40.26;45;;;
2938;40.26;45;;;
2954;40.26;45;;;
2946;40.26;45;;;
2958;40.26;45;;;
2936;40.29;45;;;
2963;40.29;45;;;
2931;40.29;45;;;
2947;40.29;45;;;
2926;40.29;45;;;
2934;40.29;45;;;
2911;40.29;45;;;
